,x,y,psi,curvature
15025,-146.57432723636578,15.327147294053654,0.1837786497608724,-0.004549319321393565
15026,-146.47603148683703,15.345394997493269,0.18332409268887628,-0.004541823315494311
15027,-146.37772505083075,15.363598500901142,0.18287028485855078,-0.0045343344862706445
15028,-146.27940800291728,15.381757864371325,0.1824172255527463,-0.004526852823314467
15029,-146.18108041766797,15.39987314799771,0.1819649140553606,-0.004519378316168847
15030,-146.08274236965337,15.417944411874306,0.1815133496513365,-0.004511910954328165
15031,-145.98439393344418,15.435971716095132,0.1810625316266697,-0.0045044507272384545
15032,-145.88603518361163,15.45395512075407,0.1806124592684169,-0.004496997624297717
15033,-145.7876661947261,15.47189468594518,0.18016313186469327,-0.004489551634856082
15034,-145.68928704135894,15.489790471762348,0.17971454870468534,-0.00448211274821621
15035,-145.59089779808073,15.50764253829959,0.1792667090786489,-0.004474680953633447
15036,-145.49249853946208,15.525450945650919,0.17881961227791623,-0.004467256240316142
15037,-145.39408934007432,15.54321575391022,0.1783732575949045,-0.004459838597425962
15038,-145.29567027448783,15.560937023171553,0.1779276443231127,-0.004452428014078035
15039,-145.19724141727383,15.578614813528802,0.1774827717571349,-0.00444502447934136
15040,-145.09880284300306,15.596249185075983,0.1770386391926574,-0.0044376279822389295
15041,-145.00035462624604,15.613840197907107,0.1765952459264665,-0.004430238511748064
15042,-144.90189684157409,15.631387912116068,0.17615259125645608,-0.0044228560568007
15043,-144.80342956355761,15.648892387796915,0.1757106744816251,-0.004415480606283537
15044,-144.70495286676794,15.666353685043543,0.17526949490209004,-0.0044081121490384245
15045,-144.60646682577558,15.683771863949959,0.17482905181908254,-0.0044007506738625
15046,-144.50797151515127,15.701146984610176,0.17438934453495658,-0.0043933961695084844
15047,-144.40946700946623,15.71847910711809,0.17395037235319621,-0.004386048624684988
15048,-144.31095338329084,15.735768291567748,0.17351213457841283,-0.004378708028056635
15049,-144.21243071119642,15.753014598053046,0.1730746305163574,-0.004371374368244451
15050,-144.1138990677536,15.770218086667994,0.17263785947391821,-0.00436404763382598
15051,-144.015358527533,15.787378817506598,0.17220182075912774,-0.0043567278133355885
15052,-143.91680916510586,15.804496850662762,0.17176651368117019,-0.0043494148952647445
15053,-143.81825105504265,15.821572246230525,0.17133193755037893,-0.004342108868062157
15054,-143.71968427191462,15.838605064303788,0.1708980916782484,-0.004334809720134127
15055,-143.62110889029236,15.855595364976558,0.17046497537743155,-0.004327517439844685
15056,-143.52252498474655,15.872543208342849,0.17003258796174717,-0.004320232015515865
15057,-143.42393262984842,15.889448654496555,0.1696009287461868,-0.00431295343542799
15058,-143.3253319001684,15.90631176353172,0.16916999704691202,-0.004305681687819789
15059,-143.22672287027777,15.923132595542244,0.16873979218126667,-0.004298416760888759
15060,-143.12810561474717,15.939911210622137,0.16831031346777386,-0.004291158642791276
15061,-143.02948020814716,15.956647668865404,0.1678815602261432,-0.00428390732164287
15062,-142.9308467250491,15.973342030365949,0.16745353177727762,-0.004276662785518506
15063,-142.8322052400233,15.98999435521781,0.16702622744327064,-0.004269425022452682
15064,-142.73355582764117,16.006604703514892,0.1665996465474184,-0.004262194020439795
15065,-142.6348985624732,16.023173135351197,0.1661737884142165,-0.004254969767434235
15066,-142.5362335190901,16.039699710820738,0.16574865236936723,-0.004247752251350656
15067,-142.4375607720631,16.05618449001742,0.16532423773978625,-0.004240541460064248
15068,-142.33888039596263,16.07262753303527,0.16490054385359973,-0.004233337381410836
15069,-142.24019246536,16.089028899968202,0.16447757004015617,-0.004226140003187218
15070,-142.14149705482578,16.105388650910214,0.1640553156300234,-0.004218949313151268
15071,-142.04279423893058,16.12170684595533,0.16363377995499542,-0.004211765299022202
15072,-141.94408409224576,16.13798354519743,0.16321296234809915,-0.004204587948480824
15073,-141.84536668934163,16.154218808730572,0.16279286214359137,-0.0041974172491696295
15074,-141.74664210478957,16.17041269664865,0.16237347867697052,-0.004190253188693138
15075,-141.64791041316013,16.186565269045673,0.16195481128497344,-0.0041830957546179865
15076,-141.54917168902392,16.202676586015645,0.16153685930558237,-0.004175944934473178
15077,-141.4504260069523,16.218746707652475,0.16111962207803115,-0.004168800715750334
15078,-141.35167344151557,16.2347756940502,0.16070309894280282,-0.0041616630859037836
15079,-141.25291406728513,16.250763605302716,0.16028728924164037,-0.004154532032350885
15080,-141.1541479588315,16.266710501504036,0.15987219231754424,-0.004147407542472119
